epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.302,1.71482,1.44476,1.24004,0.83049,0.78464,0.84466,0.48249,1.4337,0.95263,1.19365,0.067287,0.000330435,0.000330435
2,872.992,1.4349,0.83721,1.16445,0.89477,0.81523,0.88806,0.51716,1.39124,0.84824,1.22038,0.0342738,0.000650626,0.000650626
3,1308.14,1.32306,0.74836,1.14012,0.91937,0.79316,0.88601,0.58115,1.18007,0.67725,1.11854,0.00124747,0.000957616,0.000957616
4,1748.99,1.27005,0.67546,1.10077,0.95686,0.89104,0.93948,0.6135,1.09812,0.60798,1.07581,0.0009406,0.0009406,0.0009406
5,2217,1.18586,0.60037,1.05779,0.96742,0.9147,0.946,0.61403,1.14225,0.57008,1.09795,0.0009208,0.0009208,0.0009208
6,2671.76,1.16067,0.57228,1.08528,0.95972,0.92717,0.94699,0.65576,1.02343,0.50518,1.04428,0.000901,0.000901,0.000901
7,3125.5,1.22257,0.5806,1.0961,0.96823,0.92679,0.9524,0.65319,1.05412,0.52512,1.04679,0.0008812,0.0008812,0.0008812
8,3588.63,1.11265,0.55201,1.04875,0.96029,0.93363,0.95052,0.66079,1.00824,0.48881,1.02332,0.0008614,0.0008614,0.0008614
9,4052.99,1.11585,0.54361,1.04729,0.96191,0.91035,0.95543,0.68176,0.98427,0.48373,1.02221,0.0008416,0.0008416,0.0008416
10,4499.63,1.07705,0.51899,1.03495,0.95113,0.91329,0.94365,0.68521,0.96709,0.4633,1.02077,0.0008218,0.0008218,0.0008218
11,4945.47,1.05683,0.51401,1.03124,0.97502,0.94776,0.96344,0.69547,0.98098,0.44275,1.01349,0.000802,0.000802,0.000802
12,5408.45,1.01529,0.48204,1.00381,0.97562,0.92616,0.96628,0.69029,0.97256,0.43812,1.01237,0.0007822,0.0007822,0.0007822
13,5856.99,1.0068,0.4896,1.01423,0.96207,0.93957,0.97243,0.69319,0.97395,0.45931,1.01238,0.0007624,0.0007624,0.0007624
14,6299.67,0.98853,0.47758,0.99173,0.97167,0.95409,0.97494,0.71036,0.99976,0.42838,1.02968,0.0007426,0.0007426,0.0007426
15,6729.42,0.98181,0.4617,0.99081,0.96396,0.95812,0.96976,0.68339,1.04354,0.43608,1.02647,0.0007228,0.0007228,0.0007228
16,7148.61,0.96411,0.45328,0.97999,0.95804,0.95812,0.96912,0.71744,0.89834,0.40188,0.98142,0.000703,0.000703,0.000703
17,7583.42,1.03788,0.45874,1.01226,0.97404,0.96984,0.97994,0.68742,1.05592,0.4177,1.03767,0.0006832,0.0006832,0.0006832
18,8035.18,1.03077,0.46405,0.99047,0.98191,0.94971,0.97498,0.71644,0.93809,0.40786,1.00299,0.0006634,0.0006634,0.0006634
19,8479.7,0.957,0.44294,0.97122,0.97842,0.94593,0.97894,0.69149,0.94664,0.40151,1.01367,0.0006436,0.0006436,0.0006436
20,8922.54,0.97678,0.44215,0.99456,0.97856,0.94965,0.97802,0.72215,0.95779,0.40193,1.00818,0.0006238,0.0006238,0.0006238
21,9364.53,0.94642,0.43236,0.98302,0.97788,0.96656,0.9807,0.74485,0.89083,0.38548,0.97893,0.000604,0.000604,0.000604
22,9819.88,0.91043,0.42424,0.96302,0.97078,0.97387,0.98359,0.73872,0.86238,0.37803,0.96883,0.0005842,0.0005842,0.0005842
23,10282.8,0.90472,0.41675,0.97043,0.98504,0.96442,0.98165,0.75208,0.86927,0.38375,0.97844,0.0005644,0.0005644,0.0005644
24,10742.4,0.89444,0.41394,0.96869,0.96142,0.97449,0.98076,0.75758,0.89231,0.3834,0.96599,0.0005446,0.0005446,0.0005446
25,11198.6,0.91963,0.42264,0.96084,0.97798,0.95383,0.97656,0.7305,0.89258,0.38518,0.98396,0.0005248,0.0005248,0.0005248
26,11666.3,0.91481,0.41559,0.96223,0.9794,0.96499,0.98081,0.74155,0.89289,0.37754,0.97084,0.000505,0.000505,0.000505
27,12118,0.88606,0.40784,0.95694,0.98413,0.96457,0.98266,0.77345,0.82881,0.35958,0.95467,0.0004852,0.0004852,0.0004852
28,12568.9,0.84982,0.3906,0.94201,0.97025,0.95962,0.98061,0.77123,0.82272,0.35627,0.94693,0.0004654,0.0004654,0.0004654
29,13042.3,0.85363,0.39426,0.9489,0.98212,0.9487,0.96938,0.74572,0.82825,0.37022,0.95206,0.0004456,0.0004456,0.0004456
